Passenger Arrivals by Nationality,Gender,Total Passenger Arrivals by Nationality,Year
Turks and Caicos Islands,Female,274,2020
Turks and Caicos Islands,Male,525,2020
Costa Rica,Female,1654,2020
Costa Rica,Male,1587,2020
Cuba,Female,1906,2020
Cuba,Male,1759,2020
Curacao,Female,125,2020
Curacao,Male,128,2020
El Salvador,Female,628,2020
El Salvador,Male,516,2020
Guadeloupe,Female,213,2020
Guadeloupe,Male,364,2020
Guatemala,Female,1143,2020
Guatemala,Male,1199,2020
Haiti,Female,1767,2020
Haiti,Male,8979,2020
Honduras,Female,533,2020
Honduras,Male,443,2020
Jamaica,Female,380,2020
Jamaica,Male,448,2020
Martinique,Female,96,2020
Martinique,Male,196,2020
Panama,Female,2988,2020
Panama,Male,3363,2020
Puerto Rico,Female,13068,2020
Puerto Rico,Male,15403,2020
Saint Martin,Female,200,2020
Saint Martin,Male,248,2020
Trinidad and Tobago,Female,256,2020
Trinidad and Tobago,Male,223,2020
U.S. Virgin Islands,Female,99,2020
U.S. Virgin Islands,Male,146,2020
Other Caribbean,Female,867,2020
Other Caribbean,Male,1170,2020
South America,Female,94280,2020
South America,Male,79459,2020
Argentina,Female,20274,2020
Argentina,Male,17885,2020
Bolivia,Female,1806,2020
Bolivia,Male,1518,2020
Brazil,Female,14706,2020
Brazil,Male,12842,2020
Colombia,Female,16071,2020
Colombia,Male,13006,2020
Chile,Female,13751,2020
Chile,Male,11856,2020
Ecuador,Female,1347,2020
Ecuador,Male,1248,2020
Peru,Female,5711,2020
Peru,Male,4850,2020
Uruguay,Female,2613,2020
Uruguay,Male,2168,2020
Venezuela,Female,16648,2020
Venezuela,Male,13046,2020
Other South America,Female,1353,2020
Other South America,Male,1040,2020
Europe,Female,195888,2020
Europe,Male,178519,2020
Germany,Female,17893,2020
Germany,Male,18855,2020
Austria,Female,1874,2020
Austria,Male,1814,2020
Belgium,Female,4495,2020
Belgium,Male,3333,2020
Bulgaria,Female,712,2020
Bulgaria,Male,809,2020
Denmark,Female,1088,2020
Denmark,Male,910,2020
Scotland,Female,89,2020
Scotland,Male,101,2020
Spain,Female,22341,2020
Spain,Male,21730,2020
Finland,Female,2627,2020
Finland,Male,2023,2020
France,Female,41870,2020
France,Male,34441,2020
Greece,Female,145,2020
Greece,Male,169,2020
Netherlands,Female,3783,2020
Netherlands,Male,4330,2020
Hungary,Female,1356,2020
Hungary,Male,1240,2020
United Kingdom,Female,15777,2020
United Kingdom,Male,14106,2020
Ireland,Female,434,2020
Ireland,Male,353,2020
Italy,Female,11486,2020
Italy,Male,11344,2020
Luxembourg,Female,235,2020
Luxembourg,Male,162,2020
Norway,Female,175,2020
Norway,Male,209,2020
Poland,Female,5407,2020
Poland,Male,5120,2020
Portugal,Female,2727,2020
Portugal,Male,2377,2020
Czech Republic,Female,1958,2020
Czech Republic,Male,1820,2020
Romania,Female,1317,2020
Romania,Male,1182,2020
Russia,Female,37574,2020
Russia,Male,33178,2020
Sweden,Female,2718,2020
Sweden,Male,2583,2020
Switzerland,Female,5560,2020
Switzerland,Male,5264,2020
Ukraine,Female,10923,2020
Ukraine,Male,9862,2020
Other Europe,Female,1324,2020
Other Europe,Male,1204,2020
Asia,Female,2415,2020
Asia,Male,3053,2020
South Korea,Female,200,2020
South Korea,Male,236,2020
China,Female,514,2020
China,Male,439,2020
India,Female,186,2020
India,Male,386,2020
Israel,Female,276,2020
Israel,Male,324,2020
Japan,Female,133,2020
Japan,Male,145,2020
Taiwan,Female,30,2020
Taiwan,Male,30,2020
Other Asia,Female,1076,2020
Other Asia,Male,1493,2020
Rest of the World,Female,542,2020
Rest of the World,Male,555,2020
Australia,Female,276,2020
Australia,Male,296,2020
Other Rest of the World,Female,266,2020
Other Rest of the World,Male,259,2020
Resident Dominicans,Female,300787,2021
Resident Dominicans,Male,228427,2021
Resident Foreigners,Female,30939,2021
Resident Foreigners,Male,35662,2021
Non-Resident Dominicans,Female,744390,2021
Non-Resident Dominicans,Male,594702,2021
Non-Resident Foreigners,Female,1908432,2021
Non-Resident Foreigners,Male,1746785,2021
North America,Female,1191268,2021
North America,Male,1074319,2021
Canada,Female,82620,2021
Canada,Male,80080,2021
United States,Female,1094011,2021
United States,Male,976011,2021
Mexico,Female,14637,2021
Mexico,Male,17270,2021
Central America and Caribbean,Female,74202,2021
Central America and Caribbean,Male,92368,2021
Aruba,Female,708,2021
Aruba,Male,772,2021
Turks and Caicos Islands,Female,849,2021
Turks and Caicos Islands,Male,1424,2021
Costa Rica,Female,3144,2021
Costa Rica,Male,3310,2021
Cuba,Female,1633,2021
Cuba,Male,1542,2021
Curacao,Female,1163,2021
Curacao,Male,1703,2021
El Salvador,Female,1415,2021
El Salvador,Male,1432,2021
Guadeloupe,Female,1082,2021
Guadeloupe,Male,1517,2021
Guatemala,Female,3113,2021
Guatemala,Male,3526,2021
Haiti,Female,6215,2021
Haiti,Male,12739,2021
Honduras,Female,1585,2021
Honduras,Male,1706,2021
Jamaica,Female,871,2021
Jamaica,Male,897,2021
Martinique,Female,875,2021
Martinique,Male,1212,2021
Panama,Female,7521,2021
Panama,Male,8734,2021
Puerto Rico,Female,40663,2021
Puerto Rico,Male,46181,2021
Saint Martin,Female,709,2021
Saint Martin,Male,1049,2021
Trinidad and Tobago,Female,154,2021
Trinidad and Tobago,Male,275,2021
U.S. Virgin Islands,Female,471,2021
U.S. Virgin Islands,Male,671,2021
Other Caribbean,Female,2037,2021
Other Caribbean,Male,3678,2021
South America,Female,221379,2021
South America,Male,183515,2021
Argentina,Female,15972,2021
Argentina,Male,13777,2021
Bolivia,Female,6686,2021
Bolivia,Male,4897,2021
Brazil,Female,22334,2021
Brazil,Male,19139,2021
Colombia,Female,68960,2021
Colombia,Male,53964,2021
Chile,Female,17816,2021
Chile,Male,15866,2021
Ecuador,Female,7224,2021
Ecuador,Male,5893,2021
Peru,Female,1010,2021
Peru,Male,13046,2021
Uruguay,Female,5763,2021
Uruguay,Male,4806,2021
Venezuela,Female,56454,2021
Venezuela,Male,48807,2021
Other South America,Female,4160,2021
Other South America,Male,3320,2021
Europe,Female,416644,2021
Europe,Male,388222,2021
Germany,Female,52214,2021
Germany,Male,53315,2021
Austria,Female,2798,2021
Austria,Male,3098,2021
Belgium,Female,6911,2021
Belgium,Male,6433,2021
Bulgaria,Female,1384,2021
Bulgaria,Male,1169,2021
Denmark,Female,687,2021
Denmark,Male,832,2021
Scotland,Female,26,2021
Scotland,Male,13,2021
Spain,Female,61003,2021
Spain,Male,61365,2021
Finland,Female,208,2021
Finland,Male,294,2021
France,Female,53703,2021
France,Male,49992,2021
Greece,Female,222,2021
Greece,Male,575,2021
Netherlands,Female,5027,2021
Netherlands,Male,5525,2021
Hungary,Female,2101,2021
Hungary,Male,2028,2021
United Kingdom,Female,8712,2021
United Kingdom,Male,9065,2021
Ireland,Female,421,2021
Ireland,Male,447,2021
Italy,Female,11600,2021
Italy,Male,15237,2021
Luxembourg,Female,795,2021
Luxembourg,Male,746,2021
Norway,Female,339,2021
Norway,Male,457,2021
Poland,Female,30153,2021
Poland,Male,26973,2021
Portugal,Female,10820,2021
Portugal,Male,9862,2021
Czech Republic,Female,5370,2021
Czech Republic,Male,4915,2021
Romania,Female,4503,2021
Romania,Male,3666,2021
Russia,Female,99155,2021
Russia,Male,79800,2021
Sweden,Female,789,2021
Sweden,Male,841,2021
Switzerland,Female,17731,2021
Switzerland,Male,17322,2021
Ukraine,Female,35613,2021
Ukraine,Male,29800,2021
Other Europe,Female,4359,2021
Other Europe,Male,4452,2021
Asia,Female,4275,2021
Asia,Male,7375,2021
South Korea,Female,235,2021
South Korea,Male,450,2021
China,Female,234,2021
China,Male,481,2021
India,Female,214,2021
India,Male,541,2021
Israel,Female,1379,2021
Israel,Male,1523,2021
Japan,Female,128,2021
Japan,Male,180,2021
Taiwan,Female,23,2021
Taiwan,Male,28,2021
Other Asia,Female,2062,2021
Other Asia,Male,4172,2021
Rest of the World,Female,664,2021
Rest of the World,Male,986,2021
Australia,Female,110,2021
Australia,Male,233,2021
Other Rest of the World,Female,554,2021
Other Rest of the World,Male,753,2021
Resident Dominicans,Female,354964,2022
Resident Dominicans,Male,292142,2022
Resident Foreigners,Female,60690,2022
Resident Foreigners,Male,71523,2022
Non-Resident Dominicans,Female,744919,2022
Non-Resident Dominicans,Male,613126,2022
Non-Resident Foreigners,Female,2966511,2022
Non-Resident Foreigners,Male,2838838,2022
North America,Female,1724219,2022
North America,Male,1642972,2022
Canada,Female,374312,2022
Canada,Male,339979,2022
United States,Female,1325739,2022
United States,Male,1271457,2022
Mexico,Female,24168,2022
Mexico,Male,31536,2022
Central America and Caribbean,Female,122750,2022
Central America and Caribbean,Male,146600,2022
Aruba,Female,1137,2022
Aruba,Male,1461,2022
Turks and Caicos Islands,Female,1490,2022
Turks and Caicos Islands,Male,2575,2022
Costa Rica,Female,4596,2022
Costa Rica,Male,6266,2022
Cuba,Female,5270,2022
Cuba,Male,5523,2022
Curacao,Female,2072,2022
Curacao,Male,3073,2022
El Salvador,Female,3035,2022
El Salvador,Male,3118,2022
Guadeloupe,Female,3643,2022
Guadeloupe,Male,4329,2022
Guatemala,Female,5850,2022
Guatemala,Male,7637,2022
Haiti,Female,12784,2022
Haiti,Male,16108,2022
Honduras,Female,2514,2022
Honduras,Male,2765,2022
Jamaica,Female,2317,2022
Jamaica,Male,2742,2022
Martinique,Female,2846,2022
Martinique,Male,3547,2022
Panama,Female,10865,2022
Panama,Male,14415,2022
Puerto Rico,Female,56859,2022
Puerto Rico,Male,62186,2022
Saint Martin,Female,1067,2022
Saint Martin,Male,1728,2022
Trinidad and Tobago,Female,1607,2022
Trinidad and Tobago,Male,1440,2022
U.S. Virgin Islands,Female,684,2022
U.S. Virgin Islands,Male,1040,2022
Other Caribbean,Female,4114,2022
Other Caribbean,Male,6646,2022
South America,Female,451346,2022
South America,Male,394296,2022
Argentina,Female,94014,2022
Argentina,Male,83870,2022
Bolivia,Female,6517,2022
Bolivia,Male,5438,2022
Brazil,Female,35967,2022
Brazil,Male,35367,2022
Colombia,Female,140098,2022
Colombia,Male,116535,2022
Chile,Female,64456,2022
Chile,Male,54774,2022
Ecuador,Female,19393,2022
Ecuador,Male,16063,2022
Peru,Female,39325,2022
Peru,Male,32073,2022
Uruguay,Female,12568,2022
Uruguay,Male,10818,2022
Venezuela,Female,32990,2022
Venezuela,Male,34584,2022
Other South America,Female,6018,2022
Other South America,Male,4774,2022
Europe,Female,660277,2022
Europe,Male,639880,2022
Germany,Female,92837,2022
Germany,Male,92981,2022
Austria,Female,6575,2022
Austria,Male,7011,2022
Belgium,Female,17633,2022
Belgium,Male,16116,2022
Bulgaria,Female,2425,2022
Bulgaria,Male,2264,2022
Denmark,Female,1778,2022
Denmark,Male,1812,2022
Spain,Female,93216,2022
Spain,Male,99657,2022
Finland,Female,504,2022
Finland,Male,622,2022
France,Female,113251,2022
France,Male,104722,2022
Greece,Female,319,2022
Greece,Male,553,2022
Netherlands,Female,15051,2022
Netherlands,Male,15303,2022
Hungary,Female,4574,2022
Hungary,Male,4459,2022
United Kingdom,Female,102751,2022
United Kingdom,Male,94193,2022
Ireland,Female,1818,2022
Ireland,Male,1789,2022
Italy,Female,35123,2022
Italy,Male,41463,2022
Luxembourg,Female,1335,2022
Luxembourg,Male,1365,2022
Norway,Female,1228,2022
Norway,Male,1377,2022
Poland,Female,28904,2022
Poland,Male,26450,2022
Portugal,Female,26012,2022
Portugal,Male,24231,2022
Czech Republic,Female,13292,2022
Czech Republic,Male,12244,2022
Romania,Female,5480,2022
Romania,Male,5216,2022
Russia,Female,52600,2022
Russia,Male,43336,2022
Sweden,Female,1887,2022
Sweden,Male,2052,2022
Switzerland,Female,22518,2022
Switzerland,Male,22666,2022
Ukraine,Female,10332,2022
Ukraine,Male,8452,2022
Other Europe,Female,8834,2022
Other Europe,Male,9546,2022
Asia,Female,6126,2022
Asia,Male,12462,2022
South Korea,Female,338,2022
South Korea,Male,854,2022
China,Female,427,2022
China,Male,1127,2022
India,Female,325,2022
India,Male,1116,2022
Israel,Female,1769,2022
Israel,Male,1999,2022
Japan,Female,210,2022
Japan,Male,422,2022
Taiwan,Female,63,2022
Taiwan,Male,106,2022
Other Asia,Female,2994,2022
Other Asia,Male,6838,2022
Rest of the World,Female,1793,2022
Rest of the World,Male,2629,2022
Australia,Female,514,2022
Australia,Male,721,2022
Other Rest of the World,Female,1279,2022
Other Rest of the World,Male,1908,2022
Resident Dominicans,Female,436446,2023
Resident Dominicans,Male,360631,2023
Resident Foreigners,Female,71398,2023
Resident Foreigners,Male,81948,2023
Non-Resident Dominicans,Female,726682,2023
Non-Resident Dominicans,Male,601187,2023
Non-Resident Foreigners,Female,3455055,2023
Non-Resident Foreigners,Male,3275746,2023
North America,Female,2232423,2023
North America,Male,2099607,2023
Canada,Female,575647,2023
Canada,Male,516601,2023
United States,Female,1617348,2023
United States,Male,1535986,2023
Mexico,Female,39427,2023
Mexico,Male,47020,2023
Central America and Caribbean,Female,194966,2023
Central America and Caribbean,Male,213833,2023
Aruba,Female,1280,2023
Aruba,Male,1474,2023
Turks and Caicos Islands,Female,1811,2023
Turks and Caicos Islands,Male,3063,2023
Costa Rica,Female,10690,2023
Costa Rica,Male,11903,2023
Cuba,Female,5612,2023
Cuba,Male,5863,2023
Curacao,Female,2169,2023
Curacao,Male,3013,2023
El Salvador,Female,8286,2023
El Salvador,Male,7721,2023
Guadeloupe,Female,4437,2023
Guadeloupe,Male,4748,2023
Guatemala,Female,14388,2023
Guatemala,Male,15600,2023
Haiti,Female,13930,2023
Haiti,Male,18526,2023
Honduras,Female,3700,2023
Honduras,Male,3888,2023
Jamaica,Female,7934,2023
Jamaica,Male,6567,2023
Martinique,Female,3782,2023
Martinique,Male,4190,2023
Panama,Female,16484,2023
Panama,Male,20277,2023
Puerto Rico,Female,89732,2023
Puerto Rico,Male,92375,2023
Saint Martin,Female,1984,2023
Saint Martin,Male,2642,2023
Trinidad and Tobago,Female,1672,2023
Trinidad and Tobago,Male,1735,2023
U.S. Virgin Islands,Female,940,2023
U.S. Virgin Islands,Male,1420,2023
Other Caribbean,Female,6133,2023
Other Caribbean,Male,8828,2023
South America,Female,523903,2023
South America,Male,453850,2023
Argentina,Female,105504,2023
Argentina,Male,94164,2023
Bolivia,Female,6377,2023
Bolivia,Male,5444,2023
Brazil,Female,56010,2023
Brazil,Male,53761,2023
Colombia,Female,168540,2023
Colombia,Male,137117,2023
Chile,Female,69894,2023
Chile,Male,58407,2023
Ecuador,Female,26143,2023
Ecuador,Male,21520,2023
Peru,Female,43825,2023
Peru,Male,35537,2023
Uruguay,Female,13892,2023
Uruguay,Male,12135,2023
Venezuela,Female,27727,2023
Venezuela,Male,30409,2023
Other South America,Female,5992,2023
Other South America,Male,5356,2023
Europe,Female,494917,2023
Europe,Male,490010,2023
Germany,Female,70467,2023
Germany,Male,70527,2023
Austria,Female,5727,2023
Austria,Male,5991,2023
Belgium,Female,12498,2023
Belgium,Male,11652,2023
Bulgaria,Female,1969,2023
Bulgaria,Male,1793,2023
Denmark,Female,1553,2023
Denmark,Male,1708,2023
Spain,Female,92403,2023
Spain,Male,97820,2023
Finland,Female,635,2023
Finland,Male,658,2023
France,Female,74218,2023
France,Male,69615,2023
Greece,Female,420,2023
Greece,Male,666,2023
Netherlands,Female,12048,2023
Netherlands,Male,12528,2023
Hungary,Female,2649,2023
Hungary,Male,2657,2023
United Kingdom,Female,91613,2023
United Kingdom,Male,84156,2023
Ireland,Female,1690,2023
Ireland,Male,1723,2023
Italy,Female,36065,2023
Italy,Male,42436,2023
Luxembourg,Female,890,2023
Luxembourg,Male,906,2023
Norway,Female,1147,2023
Norway,Male,1254,2023
Poland,Female,19296,2023
Poland,Male,17545,2023
Portugal,Female,25392,2023
Portugal,Male,23581,2023
Czech Republic,Female,8987,2023
Czech Republic,Male,8125,2023
Romania,Female,3241,2023
Romania,Male,3238,2023
Russia,Female,1516,2023
Russia,Male,1551,2023
Sweden,Female,1867,2023
Sweden,Male,1983,2023
Switzerland,Female,17905,2023
Switzerland,Male,17986,2023
Ukraine,Female,2887,2023
Ukraine,Male,2113,2023
Other Europe,Female,7295,2023
Other Europe,Male,7797,2023
Asia,Female,6533,2023
Asia,Male,14897,2023
South Korea,Female,493,2023
South Korea,Male,1241,2023
China,Female,1283,2023
China,Male,2597,2023
India,Female,615,2023
India,Male,1778,2023
Israel,Female,1122,2023
Israel,Male,1494,2023
Japan,Female,367,2023
Japan,Male,762,2023
Taiwan,Female,128,2023
Taiwan,Male,181,2023
Other Asia,Female,2524,2023
Other Asia,Male,6845,2023
Rest of the World,Female,2315,2023
Rest of the World,Male,3549,2023
Australia,Female,840,2023
Australia,Male,1058,2023
Other Rest of the World,Female,1475,2023
Other Rest of the World,Male,2492,2023
Resident Dominicans,Female,451455,2024
Resident Dominicans,Male,384298,2024
Resident Foreigners,Female,69375,2024
Resident Foreigners,Male,79080,2024
Non-Resident Dominicans,Female,767347,2024
Non-Resident Dominicans,Male,642991,2024
Non-Resident Foreigners,Female,3692995,2024
Non-Resident Foreigners,Male,3432367,2024
North America,Female,2398353,2024
North America,Male,2221627,2024
Canada,Female,630455,2024
Canada,Male,558201,2024
United States,Female,1713119,2024
United States,Male,1603119,2024
Mexico,Female,54779,2024
Mexico,Male,60307,2024
Central America and Caribbean,Female,204071,2024
Central America and Caribbean,Male,215075,2024
Aruba,Female,1491,2024
Aruba,Male,1672,2024
Turks and Caicos Islands,Female,1864,2024
Turks and Caicos Islands,Male,3136,2024
Costa Rica,Female,13213,2024
Costa Rica,Male,13602,2024
Cuba,Female,6498,2024
Cuba,Male,6705,2024
Curacao,Female,2359,2024
Curacao,Male,3189,2024
El Salvador,Female,9044,2024
El Salvador,Male,8023,2024
Guadeloupe,Female,3725,2024
Guadeloupe,Male,4149,2024
Guatemala,Female,17910,2024
Guatemala,Male,18566,2024
Haiti,Female,2953,2024
Haiti,Male,4774,2024
Honduras,Female,4528,2024
Honduras,Male,4519,2024
Jamaica,Female,10016,2024
Jamaica,Male,7682,2024
Martinique,Female,4341,2024
Martinique,Male,4421,2024
Panama,Female,16261,2024
Panama,Male,20209,2024
Puerto Rico,Female,97387,2024
Puerto Rico,Male,98646,2024
Saint Martin,Female,2110,2024
Saint Martin,Male,2683,2024
Trinidad and Tobago,Female,2501,2024
Trinidad and Tobago,Male,2278,2024
U.S. Virgin Islands,Female,858,2024
U.S. Virgin Islands,Male,1269,2024
Other Caribbean,Female,7011,2024
Other Caribbean,Male,9552,2024
South America,Female,606881,2024
South America,Male,512746,2024
Argentina,Female,144091,2024
Argentina,Male,126786,2024
Bolivia,Female,5960,2024
Bolivia,Male,5505,2024
Brazil,Female,61382,2024
Brazil,Male,58500,2024
Colombia,Female,188814,2024
Colombia,Male,146998,2024
Chile,Female,79973,2024
Chile,Male,65032,2024
Ecuador,Female,35918,2024
Ecuador,Male,28659,2024
Peru,Female,51887,2024
Peru,Male,42119,2024
Uruguay,Female,16862,2024
Uruguay,Male,14466,2024
Venezuela,Female,15495,2024
Venezuela,Male,19085,2024
Other South America,Female,6501,2024
Other South America,Male,5596,2024
Europe,Female,479379,2024
Europe,Male,463167,2024
Germany,Female,67684,2024
Germany,Male,67124,2024
Austria,Female,6284,2024
Austria,Male,6401,2024
Belgium,Female,12928,2024
Belgium,Male,12111,2024
Bulgaria,Female,2005,2024
Bulgaria,Male,1749,2024
Denmark,Female,1194,2024
Denmark,Male,1280,2024
Spain,Female,62057,2024
Spain,Male,69263,2024
Finland,Female,664,2024
Finland,Male,749,2024
France,Female,72805,2024
France,Male,66977,2024
Greece,Female,421,2024
Greece,Male,826,2024
Netherlands,Female,12226,2024
Netherlands,Male,12309,2024
Hungary,Female,2717,2024
Hungary,Male,2587,2024
United Kingdom,Female,99931,2024
United Kingdom,Male,89946,2024
Ireland,Female,1640,2024
Ireland,Male,1614,2024
Italy,Female,41228,2024
Italy,Male,45733,2024
Luxembourg,Female,923,2024
Luxembourg,Male,889,2024
Norway,Female,1126,2024
Norway,Male,1233,2024
Poland,Female,19744,2024
Poland,Male,18047,2024
Portugal,Female,25926,2024
Portugal,Male,23963,2024
Czech Republic,Female,7629,2024
Czech Republic,Male,6976,2024
Romania,Female,2560,2024
Romania,Male,2425,2024
Russia,Female,1510,2024
Russia,Male,1543,2024
Sweden,Female,1706,2024
Sweden,Male,1774,2024
Switzerland,Female,18148,2024
Switzerland,Male,17963,2024
Ukraine,Female,2925,2024
Ukraine,Male,2113,2024
Other Europe,Female,7398,2024
Other Europe,Male,7572,2024
Asia,Female,7547,2024
Asia,Male,15969,2024
South Korea,Female,560,2024
South Korea,Male,997,2024
China,Female,1823,2024
China,Male,3725,2024
India,Female,617,2024
India,Male,1975,2024
Israel,Female,1359,2024
Israel,Male,1672,2024
Japan,Female,485,2024
Japan,Male,802,2024
Taiwan,Female,135,2024
Taiwan,Male,157,2024
Other Asia,Female,2569,2024
Other Asia,Male,6642,2024
Rest of the World,Female,2764,2024
Rest of the World,Male,3783,2024
Australia,Female,1032,2024
Australia,Male,1248,2024
Other Rest of the World,Female,1732,2024
Other Rest of the World,Male,2535,2024
Resident Dominicans,Female,483458,2025
Resident Dominicans,Male,388042,2025
Resident Foreigners,Female,69890,2025
Resident Foreigners,Male,80266,2025
Non-Resident Dominicans,Female,827660,2025
Non-Resident Dominicans,Male,691304,2025
Non-Resident Foreigners,Female,3769834,2025
Non-Resident Foreigners,Male,3571911,2025
North America,Female,2350808,2025
North America,Male,2219934,2025
Canada,Female,593384,2025
Canada,Male,550858,2025
United States,Female,1676969,2025
United States,Male,1588285,2025
Mexico,Female,80455,2025
Mexico,Male,80791,2025
Central America and Caribbean,Female,211770,2025
Central America and Caribbean,Male,217437,2025
Aruba,Female,1590,2025
Aruba,Male,1851,2025
Turks and Caicos Islands,Female,2198,2025
Turks and Caicos Islands,Male,3016,2025
Costa Rica,Female,15946,2025
Costa Rica,Male,15406,2025
Cuba,Female,11117,2025
Cuba,Male,9558,2025
Curacao,Female,2973,2025
Curacao,Male,3544,2025
El Salvador,Female,6792,2025
El Salvador,Male,6529,2025
Guadeloupe,Female,3938,2025
Guadeloupe,Male,4028,2025
Guatemala,Female,17151,2025
Guatemala,Male,17403,2025
Haiti,Female,2068,2025
Haiti,Male,3205,2025
Honduras,Female,4537,2025
Honduras,Male,4623,2025
Jamaica,Female,7916,2025
Jamaica,Male,6355,2025
Martinique,Female,4156,2025
Martinique,Male,4307,2025
Panama,Female,17720,2025
Panama,Male,21444,2025
Puerto Rico,Female,99810,2025
Puerto Rico,Male,100244,2025
Saint Martin,Female,2427,2025
Saint Martin,Male,2771,2025
Trinidad and Tobago,Female,2260,2025
Trinidad and Tobago,Male,2059,2025
U.S. Virgin Islands,Female,786,2025
U.S. Virgin Islands,Male,1080,2025
Other Caribbean,Female,8384,2025
Other Caribbean,Male,10012,2025
South America,Female,731538,2025
South America,Male,658537,2025
Argentina,Female,230440,2025
Argentina,Male,209762,2025
Bolivia,Female,4047,2025
Bolivia,Male,4119,2025
Brazil,Female,72143,2025
Brazil,Male,69114,2025
Colombia,Female,215996,2025
Colombia,Male,183899,2025
Chile,Female,76782,2025
Chile,Male,69166,2025
Ecuador,Female,35463,2025
Ecuador,Male,31771,2025
Peru,Female,66272,2025
Peru,Male,60071,2025
Uruguay,Female,16577,2025
Uruguay,Male,15006,2025
Venezuela,Female,6639,2025
Venezuela,Male,9216,2025
Other South America,Female,7178,2025
Other South America,Male,6414,2025
Europe,Female,463829,2025
Europe,Male,456859,2025
Germany,Female,62977,2025
Germany,Male,62810,2025
Austria,Female,5920,2025
Austria,Male,6187,2025
Belgium,Female,10839,2025
Belgium,Male,10533,2025
Bulgaria,Female,1791,2025
Bulgaria,Male,1658,2025
Denmark,Female,1194,2025
Denmark,Male,1292,2025
Spain,Female,64380,2025
Spain,Male,68859,2025
Finland,Female,627,2025
Finland,Male,751,2025
France,Female,67513,2025
France,Male,65282,2025
Greece,Female,406,2025
Greece,Male,552,2025
Netherlands,Female,12737,2025
Netherlands,Male,12525,2025
Hungary,Female,2280,2025
Hungary,Male,2298,2025
United Kingdom,Female,102280,2025
United Kingdom,Male,93720,2025
Ireland,Female,1471,2025
Ireland,Male,1439,2025
Italy,Female,46674,2025
Italy,Male,48685,2025
Luxembourg,Female,897,2025
Luxembourg,Male,934,2025
Norway,Female,1093,2025
Norway,Male,1229,2025
Poland,Female,18170,2025
Poland,Male,17392,2025
Portugal,Female,21810,2025
Portugal,Male,20554,2025
Czech Republic,Female,6575,2025
Czech Republic,Male,6097,2025
Romania,Female,2622,2025
Romania,Male,2638,2025
Russia,Female,1449,2025
Russia,Male,1618,2025
Sweden,Female,2513,2025
Sweden,Male,2516,2025
Switzerland,Female,17748,2025
Switzerland,Male,17637,2025
Ukraine,Female,2489,2025
Ukraine,Male,2109,2025
Other Europe,Female,7373,2025
Other Europe,Male,7546,2025
Asia,Female,8877,2025
Asia,Male,15384,2025
South Korea,Female,586,2025
South Korea,Male,814,2025
China,Female,2137,2025
China,Male,4012,2025
India,Female,802,2025
India,Male,1773,2025
Israel,Female,1586,2025
Israel,Male,1854,2025
Japan,Female,545,2025
Japan,Male,866,2025
Taiwan,Female,190,2025
Taiwan,Male,243,2025
Other Asia,Female,3030,2025
Other Asia,Male,5820,2025
Rest of the World,Female,3012,2025
Rest of the World,Male,3759,2025
Australia,Female,1147,2025
Australia,Male,1301,2025
Other Rest of the World,Female,1865,2025
Other Rest of the World,Male,2457,2025
